Symbol,Tipo,Fecha,Precio_Entrada,Stop_Loss_Inicial,Precio_Salida,Resultado,PnL_Absoluto,Retorno_Pct,Comision_Total,Descripcion,Fecha de operacion,Precio,Stop_loss,Nuevo_SL
ZTS,ACT_SL,2015-02-09 00:00:00,N/A,30.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.69
ZTS,ACT_SL,2015-03-02 00:00:00,N/A,32.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.84
ZTS,ACT_SL,2015-03-16 00:00:00,N/A,32.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.04
ZTS,ACT_SL,2015-04-20 00:00:00,N/A,33.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.16
ZTS,ACT_SL,2015-05-25 00:00:00,N/A,33.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.52
ZTS,ACT_SL,2015-06-01 00:00:00,N/A,34.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.8
ZTS,ACT_SL,2015-06-15 00:00:00,N/A,34.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.97
ZTS,ACT_SL,2015-06-22 00:00:00,N/A,34.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.26
ZTS,VENTA EMA Lenta Descendente (Filtro),2016-01-18 00:00:00,39.93,N/A,40.12,Cerrada,47.31,0.48,0,Cierre tecnico,N/A,N/A,N/A,N/A
ZTS,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2016-04-04 00:00:00,43.49,32.62,N/A
ZTS,ACT_SL,2016-04-11 00:00:00,N/A,32.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.53
ZTS,ACT_SL,2016-04-18 00:00:00,N/A,33.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.19
ZTS,ACT_SL,2016-07-11 00:00:00,N/A,34.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.08
ZTS,ACT_SL,2016-07-18 00:00:00,N/A,35.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.16
ZTS,ACT_SL,2016-07-25 00:00:00,N/A,35.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.3
ZTS,ACT_SL,2016-08-01 00:00:00,N/A,35.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.41
